Probeset ID,pval_severe_vs_healthy,adj_pval_severe_vs_healthy,ratio_severe_vs_healthy,FC_severe_vs_healthy,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild
A1BG,0.335173,0.441879,0.842129,-1.18747,0.618643,0.693871,0.92006,-1.08689
A1BG-AS1,0.0269061,0.0589135,0.692103,-1.44487,0.0187219,0.0420732,0.701503,-1.42551
AAAS,0.000693849,0.00328158,0.606815,-1.64795,0.000769311,0.00377361,0.634013,-1.57726
AACS,0.114987,0.189666,0.782344,-1.27821,0.00224889,0.00823839,0.66973,-1.49314
AAGAB,0.236816,0.336047,1.14999,1.14999,0.0351825,0.0697861,0.826224,-1.21032
AAK1,0.175607,0.266263,0.804983,-1.24226,0.00490858,0.0148707,0.685306,-1.4592
AAMDC,0.0182504,0.0435309,1.36964,1.36964,0.777193,0.83058,0.972115,-1.02869
AAMP,1.16E-05,0.000141113,0.533517,-1.87436,4.45E-06,0.00026835,0.547484,-1.82654
AAR2,7.90E-05,0.000599691,0.573568,-1.74347,3.86E-06,0.000253685,0.557559,-1.79353
AARS1,0.0755255,0.13533,0.696661,-1.43542,0.00739359,0.0203981,0.626633,-1.59583
AARS2,8.46E-05,0.000634353,0.509781,-1.96162,3.38E-05,0.000585891,0.521993,-1.91573
AARSD1,7.29E-05,0.00056438,0.495034,-2.02006,0.000240671,0.00176696,0.542314,-1.84395
AASDH,0.234167,0.333074,0.800127,-1.2498,0.00330779,0.0109891,0.639167,-1.56454
AASDHPPT,0.269821,0.372617,1.28289,1.28289,0.0440336,0.0831954,0.732983,-1.36429
AASS,0.000560134,0.00276431,1.71485,1.71485,0.396213,0.488479,1.0984,1.0984
AATBC,0.0498099,0.0969021,0.52967,-1.88797,0.000717556,0.00359067,0.416148,-2.40299
AATF,0.0536874,0.102717,0.790792,-1.26455,0.00688145,0.019355,0.748449,-1.3361
AATK,0.00631341,0.0186355,1.98272,1.98272,0.381139,0.47386,0.876812,-1.1405
ABAT,0.597019,0.687059,1.13842,1.13842,0.0473738,0.088059,0.707378,-1.41367
ABCA1,0.000163698,0.00106071,9.9182,9.9182,0.57967,0.659052,1.12954,1.12954
ABCA13,0.428393,0.533718,4.38559,4.38559,0.883355,0.913685,0.886242,-1.12836
ABCA2,0.00109377,0.00466318,2.21343,2.21343,0.751516,0.807938,1.04881,1.04881
ABCA3,1.63E-06,3.34E-05,0.403533,-2.47811,7.17E-05,0.000887073,0.48078,-2.07995
ABCA5,0.660215,0.741404,1.14778,1.14778,0.0608123,0.107532,0.6677,-1.49768
ABCA7,0.00374524,0.0122748,1.89485,1.89485,0.186754,0.266256,0.840247,-1.19013
ABCB1,0.000282907,0.00161188,0.353561,-2.82836,1.63E-05,0.000429528,0.335804,-2.97793
ABCB10,0.0898286,0.155194,1.6845,1.6845,0.406241,0.498615,0.848999,-1.17786
ABCB11,0.106361,0.17801,1.27811,1.27811,0.891041,0.920629,1.01676,1.01676
ABCB6,0.00120717,0.00504614,1.55172,1.55172,0.275609,0.363816,1.11751,1.11751
ABCB7,0.0109118,0.0287806,0.686498,-1.45667,0.000495644,0.0028067,0.637048,-1.56974
ABCB8,0.00176649,0.00680516,0.656389,-1.52349,3.25E-05,0.000575344,0.610761,-1.6373
ABCB9,0.137056,0.218568,1.59284,1.59284,0.0229058,0.0493707,0.659765,-1.51569
ABCC1,0.0212855,0.0490642,0.637743,-1.56803,0.00431792,0.0134437,0.610765,-1.63729
ABCC10,0.114239,0.188676,0.788871,-1.26763,0.00201918,0.00759872,0.676304,-1.47863
ABCC2,0.000363589,0.00195833,2.67835,2.67835,0.428992,0.520874,1.13794,1.13794
ABCC3,0.346173,0.453157,1.28688,1.28688,0.179183,0.257892,0.777378,-1.28638
ABCC4,0.0563823,0.106868,1.51489,1.51489,0.706419,0.770059,1.06359,1.06359
ABCC5,0.0581374,0.109726,0.631268,-1.58411,0.00206119,0.00773102,0.535729,-1.86662
ABCC6,0.696187,0.7718,1.13643,1.13643,0.00754956,0.0207291,0.570997,-1.75132
ABCC9,0.274973,0.37805,1.18135,1.18135,0.521825,0.608078,0.925237,-1.0808
ABCD1,0.0190519,0.0450361,1.46738,1.46738,0.0934367,0.15232,0.830924,-1.20348
ABCD3,0.257895,0.359911,1.36228,1.36228,0.23428,0.318959,0.799117,-1.25138
ABCD4,0.00513188,0.0158012,0.644314,-1.55204,0.0015472,0.00622145,0.639228,-1.56439
ABCE1,0.823792,0.873389,0.94696,-1.05601,0.00437348,0.0135606,0.603319,-1.6575
ABCF1,1.96E-05,0.000207688,0.530645,-1.8845,2.36E-05,0.000495117,0.55978,-1.78642
ABCF2,0.0076536,0.0216945,0.675913,-1.47948,0.000142546,0.00131049,0.614922,-1.62622
ABCF3,5.29E-05,0.000441108,0.606276,-1.64941,1.86E-05,0.000452534,0.616777,-1.62133
ABCG1,0.0852184,0.148824,1.59169,1.59169,0.0572309,0.102395,0.730057,-1.36976
ABHD1,0.0204079,0.0474997,0.649624,-1.53935,0.107225,0.170208,0.749376,-1.33444
ABHD10,0.68142,0.759546,1.093,1.093,0.0298428,0.061209,0.709579,-1.40929
ABHD11,0.22076,0.318246,0.873869,-1.14434,0.0215038,0.0468861,0.802634,-1.2459
ABHD12,0.000104577,0.000752217,0.611465,-1.63542,1.54E-07,8.04E-05,0.556236,-1.7978
ABHD12B,0.000134543,0.000913451,4.41367,4.41367,0.00053334,0.00294809,2.67751,2.67751
ABHD13,0.00302608,0.0103792,2.48788,2.48788,0.878926,0.910281,0.973693,-1.02702
ABHD14A,0.000697511,0.00329388,0.508033,-1.96838,0.000126861,0.00121997,0.502037,-1.99189
ABHD14B,7.61E-09,6.38E-07,0.356757,-2.80303,5.06E-05,0.000715448,0.478881,-2.0882
ABHD15,0.000214203,0.0012985,0.512808,-1.95005,0.000159603,0.00139112,0.534117,-1.87225
ABHD16A,1.40E-05,0.000161979,1.76355,1.76355,0.773844,0.827856,0.976039,-1.02455
ABHD17A,0.00300024,0.0103066,0.649495,-1.53966,1.26E-05,0.000380948,0.577146,-1.73266
ABHD17B,0.456813,0.56124,1.13232,1.13232,0.055939,0.100508,0.786216,-1.27192
ABHD18,0.0147769,0.0368937,1.73295,1.73295,0.508286,0.595661,0.907645,-1.10175
ABHD2,0.799532,0.855337,1.05322,1.05322,0.166533,0.242837,0.800924,-1.24856
ABHD3,0.0137466,0.0348165,2.30926,2.30926,0.207793,0.29025,0.795139,-1.25764
ABHD4,0.17995,0.271587,1.18758,1.18758,0.328777,0.420671,0.906468,-1.10318
ABHD5,0.00306774,0.0104891,1.69772,1.69772,0.931702,0.951084,1.01057,1.01057
ABHD6,0.000539897,0.0026892,0.56967,-1.7554,8.64E-05,0.000980594,0.562696,-1.77716
ABHD8,0.0439719,0.0874718,1.3246,1.3246,0.0163022,0.0375703,0.791268,-1.26379
ABI1,0.00582654,0.0174979,1.79745,1.79745,0.562667,0.645611,0.924033,-1.08221
ABI2,0.132164,0.212265,0.714957,-1.39869,0.0018418,0.00710341,0.569707,-1.75529
ABI3,0.0298065,0.0639668,0.619763,-1.61352,1.66E-05,0.000429528,0.469058,-2.13193
ABITRAM,0.0161534,0.039454,1.50267,1.50267,0.454443,0.544797,0.915506,-1.09229
ABL1,0.0359571,0.0742614,0.680442,-1.46963,0.000845242,0.00402365,0.594101,-1.68322
ABL2,0.000200448,0.00123014,2.07882,2.07882,0.371902,0.464364,1.12158,1.12158
ABLIM1,1.77E-06,3.57E-05,0.334561,-2.98899,5.14E-05,0.000721759,0.401564,-2.49026
ABLIM3,0.0217239,0.0498342,2.35334,2.35334,0.760126,0.815923,1.07282,1.07282
ABR,0.745401,0.812787,1.04898,1.04898,0.0216659,0.0471901,0.768858,-1.30063
ABRACL,0.288026,0.391615,1.18761,1.18761,0.0443163,0.0835895,0.786944,-1.27074
ABRAXAS1,0.799713,0.855383,0.943515,-1.05987,0.0370618,0.0725973,0.691098,-1.44697
ABRAXAS2,0.644164,0.728086,1.08052,1.08052,0.0187922,0.0421661,0.743325,-1.34531
ABT1,0.0145319,0.0364251,0.739263,-1.3527,1.91E-06,0.00020078,0.608003,-1.64473
ABTB1,0.352041,0.459236,1.12417,1.12417,0.27075,0.358393,0.894777,-1.1176
ABTB2,0.252353,0.353329,1.68849,1.68849,0.496401,0.584708,0.821473,-1.21733
ACAA1,0.000163073,0.00105776,1.50388,1.50388,0.463045,0.552972,0.9464,-1.05664
ACAA2,0.0354063,0.0733715,0.731266,-1.36749,0.00040563,0.00246014,0.638281,-1.56671
ACACA,0.0779939,0.138943,0.734869,-1.36079,0.00224788,0.00823712,0.636513,-1.57106
ACACB,3.14E-06,5.35E-05,0.395609,-2.52775,0.000136496,0.00127701,0.47544,-2.10331
ACAD10,0.281808,0.385483,0.879419,-1.13711,0.00441918,0.0136852,0.750927,-1.33169
ACAD11,0.00248788,0.00890887,0.535973,-1.86576,0.00410685,0.0129309,0.575829,-1.73663
ACAD8,0.165177,0.253985,0.792813,-1.26133,0.0028265,0.00971779,0.660361,-1.51432
ACAD9,0.00131805,0.00540945,0.589011,-1.69776,4.80E-05,0.000690158,0.5536,-1.80636
ACADM,0.209493,0.305597,1.4536,1.4536,0.205392,0.287933,0.77939,-1.28306
ACADS,0.0369608,0.0757458,0.774354,-1.2914,0.000275671,0.00192057,0.68167,-1.46699
ACADSB,0.211225,0.307283,0.712222,-1.40406,0.00287193,0.00982978,0.53133,-1.88207
ACADVL,0.0552149,0.10504,0.781914,-1.27891,0.00215772,0.00797978,0.710752,-1.40696
ACAP1,0.380521,0.486726,1.09312,1.09312,0.735929,0.795129,0.971441,-1.0294
ACAP2,0.000975072,0.00427908,2.50897,2.50897,0.877164,0.909166,0.975935,-1.02466
ACAP3,0.00153879,0.0060938,0.664947,-1.50388,9.09E-05,0.00100577,0.638078,-1.56721
ACAT1,0.0655897,0.121168,1.44231,1.44231,0.0925412,0.15127,0.799052,-1.25148
ACAT2,0.878894,0.913971,0.975784,-1.02482,0.0234435,0.0503461,0.748497,-1.33601
ACBD3,0.0728043,0.131571,1.60451,1.60451,0.508291,0.595661,0.889677,-1.124
ACBD4,0.000642281,0.00308111,0.574238,-1.74144,0.000633324,0.00330267,0.599795,-1.66724
ACBD5,0.0927236,0.159023,1.47421,1.47421,0.138347,0.209359,0.79715,-1.25447
ACBD6,0.000198544,0.00122071,0.537974,-1.85883,0.00015447,0.00136474,0.559925,-1.78595
ACBD7,0.946609,0.962503,1.01512,1.01512,0.0299922,0.061414,0.694975,-1.4389
ACCS,0.139138,0.221263,0.626769,-1.59548,0.679113,0.746651,0.870353,-1.14896
ACD,0.000242048,0.00142825,0.622648,-1.60604,3.04E-05,0.000557155,0.615318,-1.62518
ACER3,4.70E-06,7.16E-05,2.40615,2.40615,0.00279474,0.00964331,1.49853,1.49853
ACIN1,0.372934,0.479492,1.14722,1.14722,0.0757461,0.128433,0.812174,-1.23126
ACLY,0.24443,0.344488,0.807422,-1.23851,0.00753358,0.0207015,0.666947,-1.49937
ACO1,7.57E-08,3.22E-06,0.37322,-2.67939,0.0014024,0.00579393,0.539173,-1.85469
ACO2,0.0016949,0.00659422,0.617995,-1.61813,0.000330155,0.00214826,0.609604,-1.64041
ACOT11,0.267656,0.370286,1.19074,1.19074,0.621891,0.69657,0.939935,-1.0639
ACOT13,2.22E-06,4.15E-05,2.09006,2.09006,0.56593,0.647858,1.05683,1.05683
ACOT2,0.0125423,0.032272,0.649561,-1.5395,7.69E-05,0.000921961,0.559744,-1.78653
ACOT7,0.730698,0.800248,0.940185,-1.06362,0.000186648,0.00152952,0.608729,-1.64277
ACOT8,0.0258828,0.0571161,1.24908,1.24908,0.134736,0.204881,0.893247,-1.11951
