Probeset ID,pval_severe_vs_healthy,adj_pval_severe_vs_healthy,ratio_severe_vs_healthy,FC_severe_vs_healthy,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild
A1BG-AS1,0.0206796,0.0461339,0.563684,-1.77404,0.28872,0.622265,0.852792,-1.17262
A2M,0.120572,0.18751,0.557045,-1.79519,0.138467,0.517869,0.666129,-1.50121
A2M-AS1,0.0163476,0.0383554,0.325691,-3.0704,0.014364,0.35811,0.378295,-2.64344
A2MP1,0.413671,0.503367,0.706963,-1.4145,0.582009,0.801047,0.853598,-1.17151
AAAS,0.0706071,0.121892,0.856581,-1.16743,0.610874,0.816911,0.955182,-1.04692
AACS,0.0111542,0.0285278,0.784191,-1.2752,0.595776,0.809676,0.92824,-1.07731
AAGAB,0.0100471,0.0263709,0.775576,-1.28936,0.327386,0.647179,0.885591,-1.12919
AAK1,2.34E-05,0.000381045,0.54571,-1.83247,0.0334139,0.421855,0.674495,-1.48259
AAMDC,0.606609,0.684534,0.928571,-1.07692,0.475275,0.738057,1.07533,1.07533
AAMP,0.00714567,0.0203163,0.734853,-1.36082,0.764153,0.897295,1.02626,1.02626
AANAT,0.0258433,0.0548336,2.10652,2.10652,0.0487124,0.43932,2.05405,2.05405
AAR2,0.0831857,0.139063,0.847823,-1.17949,0.816786,0.923868,0.976932,-1.02361
AARS1,0.392401,0.482647,0.911719,-1.09683,0.609353,0.816244,0.899281,-1.112
AARS2,0.00267827,0.00954232,0.590863,-1.69244,0.439475,0.717226,0.901339,-1.10946
AARSD1,0.0285711,0.0592864,0.582192,-1.71765,0.0613944,0.45207,0.57554,-1.7375
AASDH,0.000766225,0.00380482,0.550808,-1.81552,0.450116,0.722298,0.806782,-1.23949
AASDHPPT,0.019252,0.04358,0.646675,-1.54637,0.406061,0.697419,0.823621,-1.21415
AASS,0.00185017,0.00725256,0.355951,-2.80938,0.0581856,0.446418,0.570204,-1.75376
AATBC,0.00528809,0.0160811,0.349803,-2.85875,0.850288,0.940645,0.926336,-1.07952
AATF,0.103851,0.166299,0.831287,-1.20295,0.632277,0.829632,0.948179,-1.05465
AATK,0.0726263,0.124607,1.46266,1.46266,0.00180026,0.243808,2.17575,2.17575
ABALON,0.00381218,0.0125347,1.85081,1.85081,0.186078,0.556204,1.34719,1.34719
ABAT,0.0426172,0.0816309,0.74784,-1.33718,0.249311,0.595893,1.23757,1.23757
ABCA1,0.723441,0.782872,0.923828,-1.08245,0.198312,0.564812,1.378,1.378
ABCA2,0.00581469,0.0173246,0.534445,-1.8711,0.494707,0.749815,0.835107,-1.19745
ABCA3,0.882336,0.911735,0.983538,-1.01674,0.451313,0.722512,1.1516,1.1516
ABCA5,0.00217737,0.00818132,0.520751,-1.9203,0.0558868,0.446418,0.529591,-1.88825
ABCA6,0.611209,0.688675,0.210223,-4.75686,0.481884,0.742518,1.28342,1.28342
ABCA7,0.0101651,0.0265863,0.618045,-1.618,0.77113,0.900865,0.940692,-1.06305
ABCB1,0.000219705,0.0016034,0.280346,-3.56702,0.088074,0.47118,0.561677,-1.78038
ABCB10,0.642368,0.715553,0.95757,-1.04431,0.779674,0.9056,0.968867,-1.03213
ABCB4,0.183947,0.262429,0.557649,-1.79324,0.738571,0.88374,0.88763,-1.1266
ABCB6,0.810771,0.85404,1.05537,1.05537,0.830429,0.931124,0.942675,-1.06081
ABCB7,0.00205232,0.00782273,0.662115,-1.51031,0.258039,0.602674,0.888379,-1.12565
ABCB8,0.480592,0.568297,0.94562,-1.05751,0.653604,0.840909,0.943984,-1.05934
ABCB9,3.59E-05,0.000501811,1.89543,1.89543,0.370423,0.674451,0.732651,-1.36491
ABCC1,0.0142665,0.0345974,0.718501,-1.39179,0.903374,0.962311,1.01916,1.01916
ABCC10,0.00942495,0.0250716,0.709406,-1.40963,0.508455,0.757994,0.925845,-1.08009
ABCC2,0.649729,0.721796,0.919863,-1.08712,0.956401,0.981971,1.01499,1.01499
ABCC3,0.000670416,0.00345797,2.86236,2.86236,0.0121626,0.350894,2.64642,2.64642
ABCC4,3.21E-07,2.40E-05,2.56389,2.56389,0.00628875,0.292826,2.18438,2.18438
ABCC5,0.000290744,0.00194263,0.630585,-1.58583,0.666757,0.848642,0.94903,-1.05371
ABCC6,0.670683,0.738602,0.900204,-1.11086,0.191318,0.560259,1.44696,1.44696
ABCD1,0.716529,0.777748,0.950751,-1.0518,0.115681,0.495484,1.29723,1.29723
ABCD2,2.84E-05,0.000432509,0.265625,-3.76471,0.0596354,0.448126,0.514875,-1.94222
ABCD3,0.0184105,0.0420548,0.71068,-1.4071,0.993727,0.99741,1.0015,1.0015
ABCD4,0.00043918,0.00257299,0.618272,-1.61741,0.0875639,0.47099,0.781557,-1.2795
ABCE1,0.00138358,0.00583824,0.617085,-1.62052,0.381863,0.680098,0.825218,-1.2118
ABCF1,0.00146038,0.00606324,0.711268,-1.40594,0.222288,0.582051,0.833957,-1.1991
ABCF2,0.466567,0.554862,0.916241,-1.09142,0.51128,0.760213,1.0852,1.0852
ABCF3,0.000109004,0.00101197,0.641116,-1.55978,0.203336,0.568782,0.854999,-1.16959
ABCG1,0.000157177,0.00128318,0.399416,-2.50366,0.36337,0.669238,0.787653,-1.26959
ABCG2,0.875843,0.906609,0.921687,-1.08497,0.411536,0.699752,1.66154,1.66154
ABHD1,0.0131009,0.0323867,0.52619,-1.90045,0.0105146,0.339164,0.631068,-1.58462
ABHD10,3.65E-05,0.00050432,0.463482,-2.15758,0.128062,0.508196,0.69447,-1.43995
ABHD11,0.0518738,0.0955547,0.674591,-1.48238,0.346323,0.656562,0.858115,-1.16535
ABHD12,0.00250051,0.00908847,0.722374,-1.38432,0.196481,0.56374,0.839944,-1.19056
ABHD12B,0.976693,0.983207,0.992701,-1.00735,0.985013,0.993603,1.00787,1.00787
ABHD13,0.00198373,0.0076301,0.710582,-1.4073,0.5988,0.810656,0.944911,-1.0583
ABHD14A,0.00609671,0.0179754,0.669393,-1.49389,0.00761896,0.311439,0.599679,-1.66756
ABHD14B,0.0221195,0.048633,0.767499,-1.30293,0.14082,0.519785,0.787124,-1.27045
ABHD15,0.0199516,0.0448274,0.68676,-1.45611,0.706459,0.869873,0.941072,-1.06262
ABHD16A,0.47379,0.561601,1.06325,1.06325,0.0987293,0.480624,1.19358,1.19358
ABHD17A,0.00497284,0.0153416,0.665146,-1.50343,0.0927139,0.476201,0.747664,-1.3375
ABHD17B,0.00250159,0.00909016,0.581453,-1.71983,0.820484,0.925885,0.959209,-1.04253
ABHD17C,0.824775,0.865128,1.04765,1.04765,0.655454,0.841897,1.12058,1.12058
ABHD18,0.00106289,0.00481721,0.703237,-1.42199,0.274811,0.612609,0.82824,-1.20738
ABHD2,0.214526,0.297192,0.855858,-1.16842,0.291273,0.624101,1.12083,1.12083
ABHD3,0.146895,0.219629,0.874165,-1.14395,0.694958,0.864513,0.94779,-1.05509
ABHD4,0.00962311,0.0254614,1.48833,1.48833,0.0128095,0.353527,1.78036,1.78036
ABHD5,0.185456,0.264193,0.771777,-1.29571,0.431174,0.712268,1.16924,1.16924
ABHD6,0.000766726,0.00380482,0.683358,-1.46336,0.552914,0.782889,1.0978,1.0978
ABHD8,0.0493553,0.0919241,1.27623,1.27623,0.0149227,0.35973,1.45689,1.45689
ABI1,0.000545832,0.00298172,0.693716,-1.44151,0.377359,0.678036,0.908138,-1.10115
ABI2,0.0379751,0.0744554,0.760312,-1.31525,0.827535,0.929728,0.953785,-1.04845
ABI3,0.0150137,0.0359789,0.54039,-1.85052,0.214708,0.57738,0.735908,-1.35886
ABITRAM,0.400545,0.490745,0.900284,-1.11076,0.304798,0.631643,1.1326,1.1326
ABL1,0.00149833,0.00617562,0.786512,-1.27144,0.938179,0.974886,1.01021,1.01021
