Probeset ID,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild,pval_severe_vs_healthy,adj_pval_severe_vs_healthy,ratio_severe_vs_healthy,FC_severe_vs_healthy
A2M,0.258157,0.935545,0.610045,-1.63922,0.00963183,0.290053,0.337673,-2.96144
A2M-AS1,0.296413,0.935545,0.558192,-1.7915,0.186636,0.687255,0.477258,-2.0953
AAAS,0.695618,0.967761,1.10062,1.10062,0.840984,0.96996,1.05283,1.05283
AAGAB,0.821075,0.982105,0.92356,-1.08277,0.735487,0.952746,0.88024,-1.13605
AAK1,0.918463,0.992315,0.974256,-1.02642,0.439368,0.871152,0.819847,-1.21974
AAMP,0.668958,0.966741,1.1127,1.1127,0.649999,0.929455,1.13525,1.13525
AAR2,0.350244,0.93951,1.32491,1.32491,0.993864,0.998799,0.997797,-1.00221
AARS1,0.0264875,0.935545,2.56612,2.56612,0.125337,0.612084,1.72538,1.72538
AARS2,0.152681,0.935545,1.51774,1.51774,0.935878,0.985982,1.02027,1.02027
AASDH,0.440924,0.94373,0.757871,-1.31949,0.129757,0.615512,0.578497,-1.72862
AASDHPPT,0.864896,0.989507,0.949943,-1.05269,0.173017,0.672688,0.662657,-1.50908
AATF,0.277975,0.935545,1.22416,1.22416,0.413947,0.86081,1.16761,1.16761
AATK,0.272514,0.935545,0.774993,-1.29033,0.890915,0.978564,1.04179,1.04179
ABALON,0.17619,0.935545,0.305919,-3.26884,0.3969,0.852108,0.401874,-2.48834
ABAT,0.579087,0.951046,1.1341,1.1341,0.651949,0.930488,1.1275,1.1275
ABCA1,0.80701,0.982085,0.928569,-1.07693,0.190137,0.689782,1.72928,1.72928
ABCA2,0.924408,0.992315,0.977351,-1.02317,0.665862,0.932287,1.13092,1.13092
ABCA5,0.518639,0.946365,0.849267,-1.17749,0.179218,0.680475,0.70464,-1.41916
ABCA7,0.842315,0.984502,0.961067,-1.04051,0.162499,0.656886,0.767389,-1.30312
ABCB1,0.118005,0.935545,0.512383,-1.95166,0.0388211,0.426332,0.38038,-2.62895
ABCB10,0.88451,0.992315,0.928446,-1.07707,0.672428,0.933041,1.29581,1.29581
ABCB7,0.0647657,0.935545,0.710754,-1.40696,0.473935,0.880265,0.857515,-1.16616
ABCB8,0.225058,0.935545,1.53517,1.53517,0.542878,0.902314,0.837159,-1.19452
ABCC1,0.782745,0.979908,1.05293,1.05293,0.939124,0.987239,0.985286,-1.01493
ABCC10,0.719282,0.970579,0.903014,-1.1074,0.92393,0.98437,1.03039,1.03039
ABCC3,0.334742,0.937014,1.32281,1.32281,0.438299,0.870576,1.28494,1.28494
ABCC4,0.164907,0.935545,1.48978,1.48978,0.0816625,0.534785,1.76941,1.76941
ABCC5,0.590442,0.952807,1.11657,1.11657,0.149626,0.637676,0.73344,-1.36344
ABCC6,0.628183,0.958548,1.13862,1.13862,0.391351,0.849043,1.29612,1.29612
