Probeset ID,pval_ICU_vs_NonICU,adj_pval_ICU_vs_NonICU,ratio_ICU_vs_NonICU,FC_ICU_vs_NonICU
A1BG,0.0213936,0.0355883,0.713444,-1.40165
AAAS,0.000578731,0.00155623,0.745429,-1.34151
AACS,0.00143589,0.00336399,0.751607,-1.33048
AAGAB,1.33E-08,8.90E-07,0.708597,-1.41124
AAK1,1.89E-05,9.35E-05,0.689798,-1.4497
AAMDC,0.0333619,0.0528171,0.808672,-1.23659
AAMP,2.39E-06,2.01E-05,0.647438,-1.54455
AAR2,7.98E-06,4.94E-05,0.669619,-1.49339
AARS1,0.000560457,0.00151222,0.658455,-1.51871
AARS2,8.38E-06,5.13E-05,0.581852,-1.71865
AARSD1,0.000508644,0.00139263,0.656587,-1.52303
AASDH,0.000104266,0.000366844,0.690116,-1.44903
AASDHPPT,5.17E-06,3.55E-05,0.670923,-1.49048
AASS,0.00018859,0.000599046,0.567197,-1.76306
AATF,0.00223776,0.00493918,0.854149,-1.17076
AATK,0.0192867,0.0324692,1.27097,1.27097
ABAT,0.783694,0.819652,0.97336,-1.02737
ABCA1,0.0916321,0.128865,0.799572,-1.25067
ABCA10,0.00400579,0.00823371,0.71995,-1.38899
ABCA13,0.00120555,0.0029003,3.29199,3.29199
ABCA2,0.698583,0.746934,1.04149,1.04149
ABCA3,0.000151017,0.000497221,0.61403,-1.62859
ABCA5,0.0309125,0.0493331,0.814195,-1.22821
ABCA7,0.221148,0.279029,0.884992,-1.12995
ABCA9,0.000425243,0.00119508,0.729672,-1.37048
ABCB1,5.93E-07,7.82E-06,0.380704,-2.62671
ABCB10,0.00545093,0.0107421,0.793207,-1.2607
ABCB11,0.910508,0.927263,1.01125,1.01125
ABCB6,0.00378626,0.00783389,1.31071,1.31071
ABCB7,8.62E-06,5.25E-05,0.692679,-1.44367
ABCB8,0.000246045,0.000750498,0.580829,-1.72168
ABCB9,0.516045,0.578902,1.25558,1.25558
ABCC1,1.07E-05,6.08E-05,0.684311,-1.46132
ABCC10,1.13E-07,2.87E-06,0.603217,-1.65778
ABCC2,0.00183547,0.0041648,1.36834,1.36834
ABCC3,0.645119,0.69956,0.947039,-1.05592
ABCC4,0.840762,0.868776,0.973688,-1.02702
ABCC5,0.00368211,0.00765032,0.781401,-1.27975
ABCC6,0.061276,0.0900596,0.825702,-1.21109
ABCC9,0.198477,0.254108,0.913139,-1.09512
ABCD1,0.0150489,0.0260917,0.772727,-1.29412
ABCD2,1.96E-07,3.88E-06,0.353756,-2.8268
ABCD3,0.00885476,0.0164244,0.798054,-1.25305
ABCD4,1.28E-06,1.35E-05,0.635571,-1.57339
ABCE1,4.08E-05,0.000170971,0.596525,-1.67638
ABCF1,4.78E-08,1.79E-06,0.594779,-1.6813
ABCF2,2.94E-07,5.07E-06,0.618016,-1.61808
ABCF2-H2BE1,8.73E-07,1.02E-05,0.580297,-1.72325
ABCF3,4.85E-05,0.00019544,0.708488,-1.41146
ABCG1,0.772594,0.809679,0.964739,-1.03655
ABHD10,4.63E-05,0.000188512,0.703887,-1.42068
ABHD11,0.0811631,0.115715,0.841478,-1.18839
ABHD12,5.83E-05,0.000227626,0.658346,-1.51896
ABHD13,0.368211,0.434485,1.06916,1.06916
ABHD14A,0.000201021,0.000632959,0.518658,-1.92805
ABHD14B,0.00017311,0.00055611,0.572166,-1.74774
ABHD15,2.14E-09,3.15E-07,0.522473,-1.91397
ABHD16A,0.391332,0.457053,0.95436,-1.04782
ABHD17A,0.0274437,0.0443807,0.677533,-1.47594
ABHD17B,0.141237,0.188723,0.904687,-1.10536
ABHD17C,0.0657976,0.0959351,1.22364,1.22364
ABHD18,0.0043767,0.00889317,0.822654,-1.21558
ABHD2,0.743735,0.785245,0.972042,-1.02876
ABHD3,0.253516,0.313835,1.10247,1.10247
ABHD4,0.510317,0.573017,1.03619,1.03619
ABHD5,7.77E-08,2.35E-06,1.66084,1.66084
ABHD6,0.209462,0.26611,0.890251,-1.12328
ABHD8,0.432579,0.497416,0.887883,-1.12627
ABI1,0.644658,0.699188,0.968936,-1.03206
ABI2,4.04E-07,6.18E-06,0.528008,-1.89391
ABI3,4.84E-05,0.000195074,0.508461,-1.96672
ABITRAM,0.555656,0.61648,0.960768,-1.04083
ABL1,1.56E-07,3.40E-06,0.582535,-1.71664
ABL2,0.291684,0.354229,0.909464,-1.09955
ABLIM1,5.94E-06,3.95E-05,0.448749,-2.22842
ABLIM3,0.16134,0.212178,1.17645,1.17645
ABR,0.106907,0.147523,0.908154,-1.10113
ABRACL,9.47E-05,0.000339236,0.751448,-1.33076
ABRAXAS1,0.000186044,0.000593496,0.706573,-1.41528
ABRAXAS2,0.000149612,0.000493466,0.73647,-1.35783
