Probeset ID,pval_critical_vs_noncritical,adj_pval_critical_vs_noncritical,ratio_critical_vs_noncritical,FC_critical_vs_noncritical
7SK,0.104784,0.15913,2.05276,2.05276
A1BG,0.308467,0.391791,0.906658,-1.10295
A1BG-AS1,0.968831,0.977124,0.99642,-1.00359
A2M,9.34E-05,0.00043634,0.525943,-1.90135
A2M-AS1,1.66E-06,1.66E-05,0.365713,-2.73439
AAAS,0.0343954,0.0627148,0.842152,-1.18743
AACS,0.0116756,0.025199,0.816388,-1.22491
AAGAB,0.00384475,0.00976575,1.12681,1.12681
AAK1,0.015991,0.0329929,0.810321,-1.23408
AAMDC,0.448622,0.531861,1.05587,1.05587
AAMP,3.78E-09,1.84E-07,0.727227,-1.37509
AAR2,0.000141708,0.000617246,0.774156,-1.29173
AARS1,0.0166308,0.0340772,0.775732,-1.2891
AARS2,4.61E-08,1.10E-06,0.633804,-1.57777
AARSD1,3.87E-07,5.41E-06,0.728489,-1.37271
AASDH,0.345325,0.429832,0.932457,-1.07244
AASDHPPT,0.104946,0.159308,0.926686,-1.07911
AASS,0.00581265,0.0138628,0.723435,-1.38229
AATBC,0.00449566,0.011128,0.654131,-1.52875
AATF,0.134271,0.195861,0.928587,-1.07691
AATK,0.00169242,0.00489276,1.60581,1.60581
ABALON,0.451415,0.534748,1.10772,1.10772
ABAT,0.36226,0.447079,1.09933,1.09933
ABCA1,6.03E-06,4.67E-05,2.25025,2.25025
ABCA10,0.113466,0.170231,1.16412,1.16412
ABCA11P,0.000795198,0.00258484,0.736779,-1.35726
ABCA13,7.83E-05,0.000377006,3.06136,3.06136
ABCA2,0.00332982,0.00864888,1.48544,1.48544
ABCA3,0.067525,0.110158,0.808382,-1.23704
ABCA5,0.502408,0.583754,1.05052,1.05052
ABCA6,0.0732793,0.117781,1.2208,1.2208
ABCA7,0.0929636,0.143628,1.20523,1.20523
ABCB1,8.85E-06,6.35E-05,0.541406,-1.84704
ABCB10,0.808387,0.851576,0.976473,-1.02409
ABCB4,0.00668242,0.0156006,0.603822,-1.65612
ABCB6,0.00406918,0.0102345,1.36767,1.36767
ABCB7,0.00070867,0.00235579,0.817717,-1.22292
ABCB8,0.00156986,0.00458268,0.806739,-1.23956
ABCB9,0.0125659,0.0268504,0.758887,-1.31772
ABCC1,0.0479273,0.0828212,0.840757,-1.1894
ABCC10,0.0169406,0.0345886,0.810272,-1.23415
ABCC13,0.870951,0.901949,1.05535,1.05535
ABCC2,0.000486505,0.0017144,1.42467,1.42467
ABCC3,0.321384,0.405333,1.26717,1.26717
ABCC4,0.0911267,0.141239,1.2906,1.2906
ABCC5,0.215437,0.2916,0.893853,-1.11875
ABCC6,0.855871,0.890631,1.03046,1.03046
ABCD1,0.0450001,0.0784039,1.2156,1.2156
ABCD2,7.37E-05,0.00035786,0.574358,-1.74107
ABCD3,0.963717,0.972923,1.00306,1.00306
ABCD4,3.93E-07,5.46E-06,0.761074,-1.31393
ABCE1,0.0470132,0.0814928,0.809723,-1.23499
ABCF1,3.73E-05,0.000204127,0.752125,-1.32957
ABCF2,0.00220868,0.00611352,0.832487,-1.20122
ABCF3,5.90E-07,7.39E-06,0.807444,-1.23848
ABCG1,0.121077,0.179566,1.26954,1.26954
ABCG2,0.834798,0.873699,1.06069,1.06069
ABHD10,0.217037,0.293176,0.896753,-1.11513
ABHD11,0.764904,0.815875,0.974856,-1.02579
ABHD12,0.000416706,0.00150989,0.77171,-1.29582
ABHD13,0.000117059,0.000528167,1.47916,1.47916
ABHD14A,1.10E-11,4.51E-09,0.588551,-1.69909
ABHD14B,4.06E-09,1.92E-07,0.606585,-1.64857
ABHD15,9.95E-09,3.54E-07,0.6215,-1.60901
ABHD16A,7.68E-06,5.65E-05,1.54934,1.54934
