Probeset ID,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild
A1BG,0.000347871,0.00836533,0.426852,-2.34273
A1BG-AS1,0.130733,0.27162,0.880742,-1.13541
A1CF,0.796025,0.87355,1.09836,1.09836
A2M,0.7622,0.850217,0.936337,-1.06799
A2M-AS1,0.422741,0.581024,1.1976,1.1976
A2ML1,0.120693,0.257931,1.44501,1.44501
A2ML1-AS1,0.370078,0.531363,1.29374,1.29374
A2ML1-AS2,0.594178,0.726181,1.17684,1.17684
A3GALT2,0.0558634,0.156423,1.18147,1.18147
A4GALT,0.129896,0.270573,0.652544,-1.53246
A4GNT,0.64282,0.762956,1.05061,1.05061
AA06,0.024736,0.0935432,1.52779,1.52779
AA174084,0.570271,0.706436,1.09151,1.09151
AAAS,0.000163717,0.00535654,0.253128,-3.95057
AACS,0.00501401,0.0368263,1.70945,1.70945
AADAC,0.000358448,0.0084921,0.677411,-1.47621
AADACL2,0.0732175,0.186484,1.65228,1.65228
AADACL2-AS1,0.0103939,0.0548539,0.789932,-1.26593
AADACL3,0.219231,0.37983,1.256,1.256
AADACL4,0.46434,0.617247,1.21081,1.21081
AADACP1,0.576847,0.711891,1.14751,1.14751
AADAT,0.0427381,0.131844,0.48164,-2.07624
AAGAB,0.608504,0.736824,0.865702,-1.15513
AAK1,0.185072,0.340084,1.22103,1.22103
AAMDC,0.283609,0.448414,1.31059,1.31059
AAMP,0.130298,0.271074,0.764673,-1.30775
AANAT,0.475713,0.626937,1.26742,1.26742
AAR2,0.000818066,0.0133633,0.47282,-2.11497
AARD,0.34751,0.510413,0.930333,-1.07488
AARS,0.364875,0.526516,0.724199,-1.38084
AARS2,0.315503,0.479776,0.876105,-1.14142
AARSD1,0.0154652,0.0700568,0.394297,-2.53616
AASDH,0.149922,0.296744,0.711194,-1.40609
AASDHPPT,0.846984,0.906654,1.05047,1.05047
AASS,0.0708373,0.182799,0.537583,-1.86018
AATBC,0.603372,0.733103,0.909398,-1.09963
AATF,0.603975,0.733516,0.863953,-1.15747
AATK,0.0343504,0.115102,0.726805,-1.37589
AB015752.1,0.217781,0.378179,0.686695,-1.45625
AB447886,0.0039801,0.0333376,2.14469,2.14469
